Date,Close,High,Low,Open,MA5,MA10,ROC5,Predicted_Trend
2020-01-30,108.99600219726562,109.03800201416016,108.65699768066406,108.98699951171876,109.08680114746093,109.43980102539062,-0.005193266384901585,0
2020-01-31,108.90899658203124,109.11499786376952,108.34100341796876,108.8769989013672,108.95559997558594,109.31280059814453,-0.005987366812005734,0
2020-02-01,108.90899658203124,109.11499786376952,108.34100341796876,108.8769989013672,108.97459869384765,109.21180038452148,0.0008729905039581709,0
2020-02-02,108.90899658203124,109.11499786376952,108.34100341796876,108.8769989013672,108.97059783935546,109.1291000366211,-0.00018364505599099967,0
2020-02-03,108.38099670410156,108.7959976196289,108.36599731445312,108.37200164794922,108.82079772949218,109.01069946289063,-0.00686337916399915,0
2020-02-04,108.61000061035156,109.43800354003906,108.55799865722656,108.61199951171876,108.74359741210938,108.91519927978516,-0.0035414288518166304,0
2020-02-05,109.44400024414062,109.83399963378906,109.31199645996094,109.4469985961914,108.85059814453125,108.9030990600586,0.004912391803246763,0
2020-02-06,109.8040008544922,109.9800033569336,109.78099822998048,109.81400299072266,109.02959899902343,109.00209884643554,0.008217909452382433,0
2020-02-07,109.95500183105467,109.97899627685548,109.53099822998048,109.96800231933594,109.23880004882812,109.1046989440918,0.009604397082435545,0
2020-02-08,109.95500183105467,109.97899627685548,109.53099822998048,109.96800231933594,109.55360107421875,109.18719940185547,0.014522888465866579,0
2020-02-09,109.95500183105467,109.97899627685548,109.53099822998048,109.96800231933594,109.82260131835938,109.28309936523438,0.01238376957135312,0
2020-02-10,109.62899780273438,109.87000274658205,109.61100006103516,109.6449966430664,109.85960083007812,109.35509948730468,0.0016903398832377459,0
2020-02-11,109.75800323486328,109.9540023803711,109.74199676513672,109.76599884033205,109.85040130615235,109.44000015258788,-0.0004189065905702005,0
2020-02-12,109.83699798583984,110.12100219726562,109.79000091552734,109.84300231933594,109.82680053710938,109.53280029296874,-0.0010732012482355113,0
2020-02-13,109.85700225830078,109.97699737548828,109.62799835205078,109.84600067138672,109.8072006225586,109.68040084838867,-0.0008912698023911814,0
2020-02-14,109.78600311279295,109.90799713134766,109.70500183105467,109.75800323486328,109.77340087890624,109.79800109863281,-0.0015369807234543176,0
2020-02-15,109.78600311279295,109.90799713134766,109.70500183105467,109.75800323486328,109.80480194091797,109.83220138549805,0.00143215128483698,0
2020-02-16,109.78600311279295,109.90799713134766,109.70500183105467,109.75800323486328,109.8104019165039,109.83040161132813,0.0002551055695660942,0
2020-02-17,109.7770004272461,109.9540023803711,109.72100067138672,109.79100036621094,109.79840240478515,109.81260147094727,-0.0005462417918731255,0
2020-02-18,109.8290023803711,109.94000244140624,109.65599822998048,109.83000183105467,109.79280242919921,109.80000152587891,-0.00025487567796411703,0
2020-02-19,109.9280014038086,111.302001953125,109.86599731445312,109.91899871826172,109.82120208740234,109.7973014831543,0.0012934097880379358,0
2020-02-20,111.2020034790039,112.18599700927734,111.11299896240234,111.20999908447266,110.10440216064453,109.95460205078125,0.012897822364078326,0
2020-02-21,111.96700286865234,112.16799926757812,111.51699829101562,111.9540023803711,110.54060211181641,110.17550201416016,0.01986591818647998,0
2020-02-22,111.96700286865234,112.16799926757812,111.51699829101562,111.9540023803711,110.97860260009766,110.38850250244141,0.01994955621744876,0
2020-02-23,111.96700286865234,112.16799926757812,111.51699829101562,111.9540023803711,111.40620269775391,110.59950256347656,0.01946662941430266,0
2020-02-24,111.55500030517578,111.65699768066406,110.51000213623048,111.55699920654295,111.73160247802734,110.77640228271484,0.014800586571119156,0
2020-02-25,110.86699676513672,111.03500366210938,110.03900146484376,110.85700225830078,111.6646011352539,110.88450164794922,-0.0030125960269271612,0
2020-02-26,110.27899932861328,110.68900299072266,110.14800262451172,110.28600311279295,111.32700042724609,110.93380126953124,-0.015075901799561864,0
2020-02-27,110.35800170898438,110.38800048828124,109.70700073242188,110.36299896240234,111.0052001953125,110.99190139770508,-0.014370315525507826,0
2020-02-28,109.65799713134766,109.65799713134766,107.77799987792967,109.66000366210938,110.54339904785157,110.97480087280273,-0.02062219830974099,0
2020-02-29,109.65799713134766,109.65799713134766,107.77799987792967,109.66000366210938,110.16399841308593,110.94780044555664,-0.017005093170531005,0
2020-03-01,109.65799713134766,109.65799713134766,107.77799987792967,109.66000366210938,109.92219848632813,110.79339981079102,-0.010904955208178246,0
2020-03-02,107.7519989013672,108.55799865722656,107.41500091552734,107.6969985961914,109.4167984008789,110.3718994140625,-0.022914611509268767,0
2020-03-03,108.4469985961914,108.4469985961914,107.22100067138672,108.48699951171876,109.03459777832032,110.0198989868164,-0.01731639829644893,0
2020-03-04,107.06900024414062,107.6709976196289,107.0479965209961,107.03700256347656,108.51679840087891,109.53009872436523,-0.023609740784394817,0
2020-03-05,107.65299987792967,107.65299987792967,106.50800323486328,107.677001953125,108.11579895019531,109.13989868164063,-0.01828409514917917,0
2020-03-06,106.26100158691406,106.33599853515624,104.99600219726562,106.2480010986328,107.4363998413086,108.67929916381836,-0.030978092189343,0
2020-03-07,106.26100158691406,106.33599853515624,104.99600219726562,106.2480010986328,107.13820037841796,108.27749938964844,-0.01383730538324357,0
2020-03-08,106.26100158691406,106.33599853515624,104.99600219726562,106.2480010986328,106.7010009765625,107.8677993774414,-0.0201572845498198,0
2020-03-09,103.9729995727539,104.25700378417967,101.28299713134766,103.93800354003906,106.08180084228516,107.29929962158204,-0.02891593892094968,0
2020-03-10,103.10800170898438,105.18900299072266,102.73899841308594,103.11199951171876,105.1728012084961,106.6443000793457,-0.04221896439578077,0
2020-03-11,105.0709991455078,105.28099822998048,104.11900329589844,105.0260009765625,104.93480072021484,106.18560028076172,-0.011198863398938719,0
2020-03-12,104.63999938964844,105.71600341796876,103.13800048828124,104.5500030517578,104.61060028076172,105.87440032958985,-0.01525491170850446,0
2020-03-13,104.70899963378906,107.47100067138672,104.69100189208984,104.61000061035156,104.30019989013672,105.5006004333496,-0.014605564882197886,0
2020-03-14,104.70899963378906,107.47100067138672,104.69100189208984,104.61000061035156,104.44739990234375,105.26460037231445,0.007078761448256143,0
2020-03-15,104.70899963378906,107.47100067138672,104.69100189208984,104.61000061035156,104.7675994873047,104.97020034790039,0.015527387770770673,0
2020-03-16,106.5790023803711,107.52899932861328,105.14700317382812,106.68800354003906,105.06920013427734,105.00200042724609,0.014352230845115832,0
2020-03-17,106.25900268554688,107.56099700927734,106.0790023803711,106.1750030517578,105.39300079345703,105.00180053710938,0.015472126388970553,0
2020-03-18,107.34200286865234,108.48799896240234,106.75900268554688,107.3769989013672,105.91960144042969,105.1099006652832,0.025145911469615756,0
2020-03-19,108.41300201416016,110.13899993896484,108.1969985961914,108.36000061035156,106.6604019165039,105.55390090942383,0.03537425047823528,0
2020-03-20,111.3000030517578,111.33699798583984,109.3759994506836,111.29100036621094,107.97860260009766,106.37310104370117,0.06294591144047046,0
2020-03-21,111.3000030517578,111.33699798583984,109.3759994506836,111.29100036621094,108.922802734375,106.99600143432617,0.044295785904787,0
2020-03-22,111.3000030517578,111.33699798583984,109.3759994506836,111.29100036621094,109.93100280761719,107.66200180053711,0.04744068962447168,0
2020-03-23,110.40399932861328,111.3489990234375,109.68099975585938,110.46199798583984,110.54340209960938,108.23150177001953,0.02852561325604963,0
2020-03-24,110.86399841308594,111.48699951171876,110.11399841308594,110.8270034790039,111.03360137939453,108.84700164794921,0.022607956180437094,0
2020-03-25,111.11499786376952,111.66799926757812,110.7519989013672,111.12000274658205,110.99660034179688,109.48760147094727,-0.0016622208707599562,0
2020-03-26,110.85800170898438,110.93399810791016,109.36100006103516,110.8759994506836,110.90820007324218,109.91550140380859,-0.003971260832471679,0
2020-03-27,109.13600158691406,109.36399841308594,107.88400268554688,109.10900115966795,110.47539978027343,110.20320129394531,-0.01944295961822584,0
2020-03-28,109.13600158691406,109.36399841308594,107.88400268554688,109.10900115966795,110.2218002319336,110.38260116577149,-0.011485070734847835,0
2020-03-29,109.13600158691406,109.36399841308594,107.88400268554688,109.10900115966795,109.87620086669922,110.45490112304688,-0.015586636337373116,0
2020-03-30,107.43900299072266,108.28700256347656,107.15299987792967,107.41300201416016,109.14100189208985,110.06880111694336,-0.03308279659559321,0
2020-03-31,108.05599975585938,108.71199798583984,107.46499633789062,108.03500366210938,108.58060150146484,109.74440078735351,-0.02527559499476273,0
2020-04-01,107.45700073242188,107.89700317382812,107.02899932861328,107.50800323486328,108.2448013305664,109.36010055541992,-0.015384482023148571,0
2020-04-02,107.28600311279295,107.97799682617188,107.03399658203124,107.25700378417967,107.87480163574219,109.0483009338379,-0.016951312557000775,0
2020-04-03,108.0469970703125,108.6719970703125,107.81300354003906,108.0009994506836,107.65700073242188,108.76660079956055,-0.009978416844731997,0
2020-04-04,108.0469970703125,108.6719970703125,107.81300354003906,108.0009994506836,107.77859954833984,108.45980072021484,0.005658969858854279,0
2020-04-05,108.0469970703125,108.6719970703125,107.81300354003906,108.0009994506836,107.77679901123047,108.17870025634765,-8.331499932645592e-05,0
2020-04-06,108.6790008544922,109.35299682617188,108.6790008544922,108.69300079345705,108.02119903564453,108.13300018310547,0.011371991715209084,0
2020-04-07,109.08599853515624,109.1269989013672,108.6760025024414,109.11499786376952,108.38119812011719,108.12799987792968,0.016777541991856104,0
2020-04-08,108.66500091552734,109.0739974975586,108.51300048828124,108.6510009765625,108.50479888916016,108.08089981079101,0.005719768822567861,0
2020-04-09,108.89900207519533,109.05799865722656,108.36000061035156,108.9219970703125,108.67519989013672,108.22689971923828,0.007885503789877513,0
2020-04-10,108.5510025024414,108.56400299072266,108.3290023803711,108.56099700927734,108.7760009765625,108.27639999389649,0.004664687087980068,0
2020-04-11,108.5510025024414,108.56400299072266,108.3290023803711,108.56099700927734,108.75040130615234,108.38580017089843,-0.001177765263246866,0
2020-04-12,108.5510025024414,108.56400299072266,108.3290023803711,108.56099700927734,108.64340209960938,108.51230010986328,-0.004904351061538081,0
2020-04-13,108.3499984741211,108.37100219726562,107.56300354003906,108.33599853515624,108.58040161132813,108.54260025024413,-0.0028988399093754502,0
